Tên chung cư,Giá trung bình trên m2,District,Ward,latitude,longitude,,,
Happy One Premier Thạnh Lộc,57.64,Quận 12,Phường Thạnh Lộc,10.88,106.668,,Nguồn: ,https://batdongsan.com.vn/
Happy One Sora,50.12,Thành phố Thủ Đức,Phường Linh Xuân,10.875,106.74,,,
Hiệp Thành Building,32.19,Quận 12,Phường Hiệp Thành,10.875,106.645,,,
PiCity High Park,51.8,Quận 12,Phường Thạnh Xuân,10.87,106.658,,,
Hưng Ngân Garden,37.09,Quận 12,Phường Tân Chánh Hiệp,10.869,106.635,,,
Glory Heights - Vinhomes Grand Park,63.13,Quận 9,Phường Long Bình,10.868,106.81,,,
Lumiere Boulevard,67.79,Quận 9,Phường Long Bình,10.868,106.81,,,
Masteri Centre Point,67.63,Quận 9,Phường Long Bình,10.868,106.81,,,
The 9 Stellars,107.78,Quận 9,Phường Long Bình,10.868,106.81,,,
The Beverly - Vinhomes Grand Park,68.87,Quận 9,Phường Long Bình,10.868,106.81,,,
The Beverly Solari - Vinhomes Grand Park,57.65,Quận 9,Phường Long Bình,10.868,106.81,,,
The Opus One - Vinhomes Grand Park,78.99,Quận 9,Phường Long Bình,10.868,106.81,,,
The Origami - Vinhomes Grand Park,53.44,Quận 9,Phường Long Bình,10.868,106.81,,,
Thái An Apartment,39.14,Quận 12,Phường Đông Hưng Thuận,10.8671,106.6413,,,
Chung cư Võ Đình,32.88,Quận 12,Phường Thới An,10.863,106.653,,,
Hà Đô Riverside,31.96,Quận 12,Phường Thới An,10.863,106.653,,,
Zen Tower,34.92,Quận 12,Phường Thới An,10.863,106.653,,,
An Phú Đông Riverside,34.33,Quận 12,Phường An Phú Đông,10.86,106.67,,,
Căn hộ Linh Trung,50.7,Thủ Đức,Phường Linh Trung,10.86,106.777,,,
Chung cư Elysian,71.5,Quận 9,Phường Trường Thạnh,10.86,106.797,,,
An Sương Ipark,40.63,Quận 12,Phường Tân Hưng Thuận,10.858,106.635,,,
Flora Novia,53.62,Thành phố Thủ Đức,Phường Linh Tây,10.856,106.719,,,
Tô Ký Tower,46.69,Quận 12,Phường Trung Mỹ Tây,10.856,106.618,,,
Chung Cư Centum Wealth,58.58,Quận 9,Phường Hiệp Phú,10.854,106.775,,,
Căn hộ 8X Plus Trường Chinh,40.77,Quận 12,Phường Tân Thới Nhất,10.851,106.628,,,
Chung cư Stown Tham Lương,54.62,Quận 12,Phường Tân Thới Nhất,10.851,106.628,,,
CTL Tower,52.79,Quận 12,Phường Tân Thới Nhất,10.851,106.628,,,
Depot Metro Tham Lương,39.38,Quận 12,Phường Tân Thới Nhất,10.851,106.628,,,
Prosper Plaza,49.42,Quận 12,Phường Tân Thới Nhất,10.851,106.628,,,
Tecco Green Nest,36.25,Quận 12,Phường Tân Thới Nhất,10.851,106.628,,,
Topaz Home,37.07,Quận 12,Phường Tân Thới Nhất,10.851,106.628,,,
Centana City Điền Phúc Thành,55,Quận 9,Phường Long Trường,10.848,106.785,,,
Chung cư TDH – Phước Bình,47.62,Quận 9,Phường Phước Bình,10.848,106.785,,,
Him Lam Phú An,63.83,Quận 9,Phường Phước Long A,10.848,106.785,,,
Nhân Phú,44.11,Quận 9,Phường Tăng Nhơn Phú B,10.848,106.762,,,
Topaz Home 2,35.32,Quận 9,Phường Tân Phú,10.848,106.785,,,
Urban Green,74.2,Thành phố Thủ Đức,Phường Hiệp Bình Phước,10.845,106.705,,,
Chung cư Man Thiện,28,Quận 9,Phường Tăng Nhơn Phú A,10.844,106.767,,,
Avatar Thủ Đức,41.07,Thủ Đức,Phường Trường Thọ,10.841,106.752,,,
9 View Apartment,49.14,Quận 9,Phường Phước Long B,10.84,106.77,,,
Cao ốc Phố Đông - Hoa Sen,43.59,Quận 9,Phường Phước Long B,10.84,106.77,,,
Chung Cư TDH - Trường Thọ,46.66,Thành phố Thủ Đức,Phường Trường Thọ,10.84,106.75,,,
Ehome 2,45.36,Quận 9,Phường Phước Long B,10.84,106.77,,,
Flora Anh Đào,56.31,Quận 9,Phường Phước Long B,10.84,106.77,,,
Fuji Residence,56.7,Quận 9,Phường Phước Long B,10.84,106.77,,,
Khu dân cư Gia Hòa,65.67,Quận 9,Phường Phước Long B,10.84,106.77,,,
Lavita Charm,65.89,Thành phố Thủ Đức,Phường Trường Thọ,10.84,106.75,,,
Lucky Dragon,70.83,Quận 9,Phường Phước Long B,10.84,106.77,,,
The Art,64.56,Quận 9,Phường Phước Long B,10.84,106.77,,,
Thủ Thiêm Garden,55.47,Quận 9,Phường Phước Long B,10.84,106.77,,,
Felix Homes,50.79,Quận Gò Vấp,Phường 6,10.8386,106.6652,,,
Hà Đô Green View,64.85,Quận Gò Vấp,Phường 3,10.837,106.661,,,
The Rainbow - Vinhomes Grand Park,51.05,Quận 9,Phường Long Thạnh Mỹ,10.833,106.81,,,
Vinhomes Grand Park,61.05,Quận 9,Phường Long Thạnh Mỹ,10.833,106.81,,,
Chung cư Z751 Hà Đô,66.67,Quận Gò Vấp,Phường 10,10.83,106.668,,,
CityLand Park Hills,66.82,Quận Gò Vấp,Phường 10,10.83,106.668,,,
Căn hộ Khang Gia Gò Vấp,42.96,Quận Gò Vấp,Phường 14,10.829,106.674,,,
Dream Home,35.38,Quận Gò Vấp,Phường 14,10.829,106.674,,,
Resco An Hội 3,29.09,Quận Gò Vấp,Phường 14,10.829,106.674,,,
Chung cư MT Eastmark City,51.15,Quận 9,Phường Long Trường,10.828,106.804,,,
Căn hộ Cao cấp Mỹ Long,53.12,Thủ Đức,Phường Hiệp Bình Chánh,10.825,106.716,,,
Chung cư Nguyễn Ngọc Phương,71.81,Quận Bình Thạnh,Phường 19,10.819,106.699,,,
Chung cư Phạm Viết Chánh,60.57,Quận Bình Thạnh,Phường 19,10.819,106.699,,,
C.T Plaza Nguyên Hồng,37.93,Gò Vấp,Phường 1,10.818,106.688,,,
Chung cư B1 Trường Sa,73.2,Quận Bình Thạnh,Phường 17,10.814,106.696,,,
Căn hộ Hausneo,61.76,Quận 9,Phường Phú Hữu,10.813,106.788,,,
Căn hộ Ricca Quận 9,47.12,Quận 9,Phường Phú Hữu,10.813,106.788,,,
Jamila Khang Điền,66.29,Quận 9,Phường Phú Hữu,10.813,106.788,,,
Kikyo Residence,60.44,Quận 9,Phường Phú Hữu,10.813,106.788,,,
Safira Khang Điền,65.87,Quận 9,Phường Phú Hữu,10.813,106.788,,,
Sky 9,51.22,Quận 9,Phường Phú Hữu,10.813,106.788,,,
The Eastern,44.45,Quận 9,Phường Phú Hữu,10.813,106.788,,,
Wilton Tower,95.5,Quận Bình Thạnh,Phường 25,10.813,106.719,,,
Chung cư Miếu Nổi,76.5,Quận Bình Thạnh,Phường 3,10.8105,106.7091,,,
Căn hộ Orchard Park View,89.79,Phú Nhuận,Phường 9,10.809,106.669,,,
Cộng Hòa Plaza,62.19,Quận Tân Bình,Phường 12,10.809,106.646,,,
Botanic Towers,69.34,Phú Nhuận,Phường Đức Nhuận,10.805,106.68,,,
Opal SaiGon Pearl,116.79,Quận Bình Thạnh,Phường 22,10.803,106.72,,,
Riverside 90,73.26,Quận Bình Thạnh,Phường 22,10.803,106.72,,,
Saigon Pearl,107.04,Quận Bình Thạnh,Phường 22,10.803,106.72,,,
Sunwah Pearl,161.71,Quận Bình Thạnh,Phường 22,10.803,106.72,,,
Vinhomes Central Park,138.15,Quận Bình Thạnh,Phường 22,10.803,106.72,,,
Căn hộ The Albany,140.15,Quận 2,Phường Thảo Điền,10.802,106.735,,,
D'Edge Thảo Điền,147.62,Quận 2,Phường Thảo Điền,10.802,106.735,,,
Gateway Thảo Điền,181.56,Quận 2,Phường Thảo Điền,10.802,106.735,,,
Hoàng Anh River View,76.87,Quận 2,Phường Thảo Điền,10.802,106.735,,,
Masteri An Phú,109.08,Quận 2,Phường Thảo Điền,10.802,106.735,,,
Masteri Thảo Điền,120,Quận 2,Phường Thảo Điền,10.802,106.735,,,
Q2 Thảo Điền,166.2,Quận 2,Phường Thảo Điền,10.802,106.735,,,
River Garden,92.96,Quận 2,Phường Thảo Điền,10.802,106.735,,,
Thảo Điền Green,218.01,Quận 2,Phường Thảo Điền,10.802,106.735,,,
Thảo Điền Pearl,105.97,Quận 2,Phường Thảo Điền,10.802,106.735,,,
The Ascent,104.78,Quận 2,Phường Thảo Điền,10.802,106.735,,,
The Nassim Thảo Điền,162.36,Quận 2,Phường Thảo Điền,10.802,106.735,,,
Thủ Thiêm Sky,81.1,Quận 2,Phường Thảo Điền,10.802,106.735,,,
Tropic Garden,94.98,Quận 2,Phường Thảo Điền,10.802,106.735,,,
Xi Riverview Palace,129.04,Quận 2,Phường Thảo Điền,10.802,106.735,,,
An Gia Garden,59.79,Tân Phú,Phường Tân Sơn Nhì,10.801,106.623,,,
Chung cư Phúc Yên,48.04,Quận Tân Bình,Phường 15,10.8,106.633,,,
Diamond Island,120.4,Quận 2,Phường Bình Trưng Tây,10.8,106.754,,,
Homyland,52.53,Quận 2,Phường Bình Trưng Tây,10.8,106.754,,,
Homyland 2,58.58,Quận 2,Phường Bình Trưng Tây,10.8,106.754,,,
La Astoria,54.75,Quận 2,Phường Bình Trưng Tây,10.8,106.754,,,
Ruby Garden,39.15,Quận Tân Bình,Phường 15,10.8,106.633,,,
Celadon City,71.56,Quận Tân Phú,Phường Sơn Kỳ,10.798,106.63,,,
Diamond Brilliant,74.09,Quận Tân Phú,Phường Sơn Kỳ,10.798,106.63,,,
Diamond Centery,86.53,Quận Tân Phú,Phường Sơn Kỳ,10.798,106.63,,,
Emerald - Celadon City,71.39,Quận Tân Phú,Phường Sơn Kỳ,10.798,106.63,,,
Ruby - Celadon City,59.16,Quận Tân Phú,Phường Sơn Kỳ,10.798,106.63,,,
Bàu Cát II,54.23,Quận Tân Bình,Phường 10,10.797,106.642,,,
Botanica Premier,82.36,Quận Tân Bình,Phường 2,10.797,106.65,,,
Park Legend,90.07,Quận Tân Bình,Phường 2,10.797,106.65,,,
Sài Gòn Airport Plaza,74.75,Quận Tân Bình,Phường 2,10.797,106.65,,,
Sky Center,78.21,Quận Tân Bình,Phường 2,10.797,106.65,,,
The Botanica,77.7,Quận Tân Bình,Phường 2,10.797,106.65,,,
Cao ốc Thịnh Vượng,46.45,Quận 2,Phường Bình Trưng Đông,10.796,106.765,,,
Chung cư Petroland Quận 2,50,Quận 2,Phường Bình Trưng Đông,10.796,106.765,,,
Golden Mansion,80.8,Quận Phú Nhuận,Phường 9,10.796,106.679,,,
Homyland Riverside,59.05,Quận 2,Phường Bình Trưng Đông,10.796,106.765,,,
Kingston Residence,82.03,Quận Phú Nhuận,Phường 8,10.796,106.686,,,
Kris Vue,56.83,Quận 2,Phường Bình Trưng Đông,10.796,106.765,,,
PARCSpring,64.45,Quận 2,Phường Bình Trưng Đông,10.796,106.765,,,
The Krista,64.88,Quận 2,Phường Bình Trưng Đông,10.796,106.765,,,
Thủ Thiêm Star,66.04,Quận 2,Phường Bình Trưng Đông,10.796,106.765,,,
Thủ Thiêm Xanh,54.97,Quận 2,Phường Bình Trưng Đông,10.796,106.765,,,
An Lộc - An Phúc,61.21,Quận 2,Phường An Phú,10.795,106.741,,,
An Phú - An Khánh,65.25,Quận 2,Phường An Phú,10.795,106.741,,,
Căn hộ Bình Khánh,50.42,Quận 2,Phường An Phú,10.795,106.741,,,
Căn hộ D’Lusso,85.75,Quận 2,Phường An Phú,10.795,106.741,,,
Căn hộ Precia Quận 2,81.62,Quận 2,Phường An Phú,10.795,106.741,,,
Cantavil An Phú - Cantavil Premier,87.01,Quận 2,Phường An Phú,10.795,106.741,,,
Cao ốc An Khang,68.43,Quận 2,Phường An Phú,10.795,106.741,,,
Centana Thủ Thiêm,73.09,Quận 2,Phường An Phú,10.795,106.741,,,
Chung cư An Hòa,70.92,Quận 2,Phường An Phú,10.795,106.741,,,
Chung cư An Thịnh,69.76,Quận 2,Phường An Phú,10.795,106.741,,,
Eaton Park,165.5,Quận 2,Phường An Phú,10.795,106.741,,,
Estella Heights,140.04,Quận 2,Phường An Phú,10.795,106.741,,,
Imperia An Phú,81.65,Quận 2,Phường An Phú,10.795,106.741,,,
Lexington Residence,81.76,Quận 2,Phường An Phú,10.795,106.741,,,
Lumière Midtown,142.87,Quận 2,Phường An Phú,10.795,106.741,,,
Lumiere Riverside,174.91,Quận 2,Phường An Phú,10.795,106.741,,,
Masteri Cosmo Central,128.06,Quận 2,Phường An Phú,10.795,106.741,,,
Masteri Grand View,130.2,Quận 2,Phường An Phú,10.795,106.741,,,
Masteri Park Place,123.59,Quận 2,Phường An Phú,10.795,106.741,,,
Palm Heights,97.23,Quận 2,Phường An Phú,10.795,106.741,,,
PetroVietnam Landmark,57.83,Quận 2,Phường An Phú,10.795,106.741,,,
The Estella,109.93,Quận 2,Phường An Phú,10.795,106.741,,,
The Global City,131.27,Quận 2,Phường An Phú,10.795,106.741,,,
The Privé,119.09,Quận 2,Phường An Phú,10.795,106.741,,,
The Sun Avenue,96.13,Quận 2,Phường An Phú,10.795,106.741,,,
The Vista An Phú,95.28,Quận 2,Phường An Phú,10.795,106.741,,,
Chung cư Bình Minh,56.89,Quận 2,Phường Bình An,10.792,106.734,,,
Tòa Nhà Horizon,85.66,Quận 1,Phường Tân Định,10.792,106.692,,,
Bảy Hiền Tower,37.3,Tân Bình,Phường 11,10.788,106.647,,,
Căn hộ 8X Đầm Sen,48.57,Quận Tân Phú,Phường Hiệp Tân,10.788,106.627,,,
Serenity Sky Villas,172.07,Quận 3,Phường Võ Thị Sáu,10.788,106.692,,,
Tân Hương Tower,31.03,Quận Tân Phú,Phường Tân Quý,10.788,106.619,,,
Terra Royal,107.6,Quận 3,Phường Võ Thị Sáu,10.788,106.692,,,
Indochina Park Tower,76.72,Quận 1,Phường Đa Kao,10.787,106.699,,,
The Marq,208.52,Quận 1,Phường Đa Kao,10.787,106.699,,,
Carillon 7,61.1,Quận Tân Phú,Phường Tân Thới Hòa,10.786,106.636,,,
Eco Smart City,287.5,Quận 2,Phường Thủ Thiêm,10.786,106.722,,,
Empire City Thủ Thiêm,280.15,Quận 2,Phường Thủ Thiêm,10.786,106.722,,,
