TenChungCu,GiaTrenM2,District,Ward,latitude,longitude,Quan_huyen_goc,Phuong_xa,Quan_huyen,dist_hospital_m,dist_mall_m,dist_metro_m,dist_university_m,Dien_tich_km2,SoChungCu,MatDoChungCu,hospital_cnt,mall_cnt,metro_cnt,university_cnt,price_segment,dist_hospital_discrete,dist_mall_discrete,dist_metro_discrete,dist_university_discrete,district_discrete
Happy One Sora,50.12,Thành phố Thủ Đức,Phường Linh Xuân,10.875,106.74,Thủ Đức,Bình Chiểu,Thành phố Thủ Đức,1131.4979544343544,3912.6467413010673,4688.640197677267,2442.4083445921715,5.388463233080228,3,0.556745006921964,0,0,0,0,Trung bình,Gần,Xa,Xa,Xa,Thủ Đức
Glory Heights - Vinhomes Grand Park,63.13,Quận 9,Phường Long Bình,10.868,106.81,Quận 9,Tân Phú,Thành phố Thủ Đức,274.5041227969951,2482.6760740172435,980.3883076656407,140.23791440713066,4.48092353006263,9,2.0085145259941997,1,0,0,2,Trung bình,Gần,Xa,Gần,Gần,Quận 9
Lumiere Boulevard,67.79,Quận 9,Phường Long Bình,10.868,106.81,Quận 9,Tân Phú,Thành phố Thủ Đức,274.5041227969951,2482.6760740172435,980.3883076656407,140.23791440713066,4.48092353006263,9,2.0085145259941997,1,0,0,2,Trung bình,Gần,Xa,Gần,Gần,Quận 9
Masteri Centre Point,67.63,Quận 9,Phường Long Bình,10.868,106.81,Quận 9,Tân Phú,Thành phố Thủ Đức,274.5041227969951,2482.6760740172435,980.3883076656407,140.23791440713066,4.48092353006263,9,2.0085145259941997,1,0,0,2,Trung bình,Gần,Xa,Gần,Gần,Quận 9
The 9 Stellars,107.78,Quận 9,Phường Long Bình,10.868,106.81,Quận 9,Tân Phú,Thành phố Thủ Đức,274.5041227969951,2482.6760740172435,980.3883076656407,140.23791440713066,4.48092353006263,9,2.0085145259941997,1,0,0,2,Cao,Gần,Xa,Gần,Gần,Quận 9
The Beverly - Vinhomes Grand Park,68.87,Quận 9,Phường Long Bình,10.868,106.81,Quận 9,Tân Phú,Thành phố Thủ Đức,274.5041227969951,2482.6760740172435,980.3883076656407,140.23791440713066,4.48092353006263,9,2.0085145259941997,1,0,0,2,Trung bình,Gần,Xa,Gần,Gần,Quận 9
The Beverly Solari - Vinhomes Grand Park,57.65,Quận 9,Phường Long Bình,10.868,106.81,Quận 9,Tân Phú,Thành phố Thủ Đức,274.5041227969951,2482.6760740172435,980.3883076656407,140.23791440713066,4.48092353006263,9,2.0085145259941997,1,0,0,2,Trung bình,Gần,Xa,Gần,Gần,Quận 9
The Opus One - Vinhomes Grand Park,78.99,Quận 9,Phường Long Bình,10.868,106.81,Quận 9,Tân Phú,Thành phố Thủ Đức,274.5041227969951,2482.6760740172435,980.3883076656407,140.23791440713066,4.48092353006263,9,2.0085145259941997,1,0,0,2,Trung bình,Gần,Xa,Gần,Gần,Quận 9
The Origami - Vinhomes Grand Park,53.44,Quận 9,Phường Long Bình,10.868,106.81,Quận 9,Tân Phú,Thành phố Thủ Đức,274.5041227969951,2482.6760740172435,980.3883076656407,140.23791440713066,4.48092353006263,9,2.0085145259941997,1,0,0,2,Trung bình,Gần,Xa,Gần,Gần,Quận 9
Căn hộ Linh Trung,50.7,Thủ Đức,Phường Linh Trung,10.86,106.777,Thủ Đức,Linh Trung,Thành phố Thủ Đức,482.99548620253825,1711.2311899304736,1299.0897983998937,933.754484119433,7.136967148703152,2,0.2802310783178282,2,0,2,6,Trung bình,Gần,Xa,Gần,Gần,Thủ Đức
