Quan_huyen,Quan_huyen_goc,Phuong_xa,Dien_tich_km2,geometry,SoChungCu,GiaTrungBinh,GiaTrungVi,GiaMin,GiaMax,MatDoChungCu,hospital_cnt,mall_cnt,metro_cnt,university_cnt,dist_hospital_m,dist_mall_m,dist_metro_m,dist_university_m,PotentialScore,rank
Thành phố Thủ Đức,Quận 2,Thảo Điền,3.7747470349535512,"POLYGON ((106.72731018000002 10.798935891000099, 106.72701263400012 10.800393104000136, 106.72314453200016 10.806142808000175, 106.72231292600009 10.80980301000011, 106.72342681800006 10.813806535000026, 106.72556304900019 10.8167467130001, 106.72996521000016 10.819359780000013, 106.73345184300007 10.819189072000142, 106.73484802300015 10.817567826000072, 106.73641204900002 10.812768936000055, 106.73813629200015 10.810224532, 106.74242401100008 10.80854988100009, 106.74443817100013 10.808447839, 106.74822998000008 10.809681892000071, 106.7483139040001 10.808156968, 106.74667358500017 10.806015015000128, 106.748329163 10.802842140999985, 106.73350524800014 10.800085067000111, 106.72731018000002 10.798935891000099))",15,128.71200000000002,120.0,76.87,218.01,3.973776218936636,1,2,2,1,556.0621346636232,221.16259960893765,223.085489694452,590.3330086617713,1.611122416062574,1
Thành phố Thủ Đức,Quận 2,An Phú,10.217398556534652,"POLYGON ((106.74822998000008 10.809681892000071, 106.75098419200003 10.812877656000182, 106.75698089600007 10.81312275, 106.76232910100003 10.814505578000023, 106.76395416200012 10.812858581000114, 106.76466369600018 10.809788704000027, 106.76612853900014 10.808673859000066, 106.7729721070001 10.807609559000127, 106.77680206200017 10.808998107000036, 106.78108978300008 10.794502257999966, 106.77367401000015 10.791798591000031, 106.76842498700006 10.79094123900012, 106.76777648900008 10.79023647300005, 106.76409149099999 10.78892517100013, 106.76329040600007 10.789751053000032, 106.75978088400012 10.790427209000029, 106.75892639200009 10.791096688000096, 106.7587585440001 10.792421341000022, 106.75711059600013 10.79209518500005, 106.75434112500005 10.788330079000104, 106.75457000800009 10.78529357900004, 106.74973297100018 10.782925606000106, 106.74778747500017 10.780885696999974, 106.74230957100002 10.787463188, 106.74138641500002 10.787091256000167, 106.74025726400015 10.787771225000029, 106.74014282200011 10.789841652000177, 106.73557281500007 10.790539742000021, 106.735748291 10.792339324000068, 106.736816406 10.792590141000119, 106.73835754300006 10.795345307, 106.73619079600013 10.797113418000038, 106.73296356200007 10.797964095000168, 106.73350524800014 10.800085067000111, 106.748329163 10.802842140999985, 106.74667358500017 10.806015015000128, 106.7483139040001 10.808156968, 106.74822998000008 10.809681892000071))",42,97.84309523809523,81.70500000000001,46.45,230.04,4.110635380190629,2,2,1,0,665.4295714446804,890.2434141630138,1100.2310748835544,2068.7321115061004,1.3506498001641631,2
Thành phố Thủ Đức,Thủ Đức,Linh Trung,7.136967148703152,"POLYGON ((106.76221466100014 10.867262840000137, 106.76328277600015 10.869933128000127, 106.7603912350001 10.87238788500008, 106.76180267400008 10.874395371000105, 106.77994537400019 10.868387223000184, 106.78775787300009 10.867210388000046, 106.78803253100006 10.870372773000156, 106.78892517000014 10.871952057000101, 106.79216766399998 10.871974946000137, 106.7949295040001 10.873538017000044, 106.79750824000013 10.873222352000141, 106.79861450200013 10.872015, 106.80128478900019 10.87359619200015, 106.80441284100004 10.873703957000089, 106.80524444500008 10.875045777000082, 106.80857086300017 10.873026848000109, 106.80767059300013 10.871809006000035, 106.80307769800015 10.867084504000104, 106.78652954000017 10.857228280000129, 106.7740020760001 10.84918022200003, 106.77342224100005 10.849568368000178, 106.7743988040001 10.85165596100012, 106.77296447700019 10.85441017200003, 106.771636962 10.853962899000066, 106.76870727500017 10.8544368740001, 106.76393127400013 10.85724639800003, 106.76092529300001 10.860893249000071, 106.7608947760001 10.863423348000083, 106.76221466100014 10.867262840000137))",2,54.64,54.64,50.7,58.58,0.2802310783178282,2,0,2,6,717.0390478028407,1439.362111809293,1107.7194535261542,616.1909522033814,0.9831771402366943,3
Thành phố Thủ Đức,Quận 2,Bình Khánh,2.01171406989206,"POLYGON ((106.7276229850001 10.779401780000057, 106.72556304900019 10.783107759000188, 106.7370224 10.789137841000127, 106.74014282200011 10.789841652000177, 106.74025726400015 10.787771225000029, 106.74138641500002 10.787091256000167, 106.74230957100002 10.787463188, 106.74778747500017 10.780885696999974, 106.7454071050002 10.779411316000107, 106.74322509800004 10.776811599000041, 106.73961639400005 10.777557374000025, 106.736816406 10.776790618000177, 106.73257446200006 10.779677391, 106.72935485800014 10.780362130000128, 106.72852325500014 10.779173852000042, 106.7276229850001 10.779401780000057))",6,254.76166666666666,301.84000000000003,62.02,426.01,2.9825312104726365,0,0,0,0,1239.184587292368,2076.253100038546,2120.956547959091,2838.7210033830256,0.7052187995017967,4
Thành phố Thủ Đức,Quận 2,An Khánh,1.7692512969813063,"POLYGON ((106.71439361500006 10.784905433000063, 106.72199249300013 10.787326814000096, 106.72417449900001 10.78497505200005, 106.72336578300008 10.784573555000122, 106.72431945800002 10.782460213000036, 106.72556304900019 10.783107759000188, 106.7276229850001 10.779401780000057, 106.72596740700004 10.77886772300019, 106.72391510100005 10.777146340000115, 106.72109222400019 10.777628900000082, 106.72076416100015 10.776371956, 106.71883392300009 10.775988578000067, 106.71730041600017 10.774764061000099, 106.71691894600019 10.773243904000026, 106.71614074700005 10.773612022000066, 106.71520996100008 10.777660371000138, 106.71215057500012 10.774765968000168, 106.70840454200004 10.775245666000046, 106.71039581300005 10.781879426000046, 106.71439361500006 10.784905433000063))",5,269.11199999999997,280.15,192.0,342.71,2.8260541668280768,0,0,0,0,2251.421288203425,1541.7355662691618,2047.401829400067,2354.301017561658,0.7037866529103651,5
Thành phố Thủ Đức,Thủ Đức,Bình Thọ,1.230259520553364,"POLYGON ((106.7740020760001 10.84918022200003, 106.76906585699999 10.841035843000043, 106.76732635500014 10.837972642000125, 106.76576995800008 10.840515137000125, 106.76342773500016 10.842188835, 106.75892639200009 10.849090576000094, 106.75867462200006 10.850662232000104, 106.76289367700019 10.850870132000068, 106.76820373599998 10.849732399000175, 106.77342224100005 10.849568368000178, 106.7740020760001 10.84918022200003))",3,56.81666666666666,44.11,28.0,98.34,2.4385098833867316,0,1,1,1,989.276977739435,476.8356149735007,924.022443717101,376.97787920096863,0.5015718784993781,6
Thành phố Thủ Đức,Quận 9,Tân Phú,4.48092353006263,"POLYGON ((106.79404449500015 10.853451730000131, 106.79271698000014 10.854228974000137, 106.79199981700003 10.853876115000162, 106.78787231500013 10.854911804000153, 106.78652954000017 10.857228280000129, 106.80307769800015 10.867084504000104, 106.80767059300013 10.871809006000035, 106.81406402599998 10.870150565000074, 106.81347656300017 10.862934112000119, 106.81369781600006 10.850289345000022, 106.80534362700013 10.848167420000095, 106.80399322600005 10.850487709000106, 106.80120849600019 10.8510637280001, 106.80175018300014 10.85208416100005, 106.79811859100005 10.851476670000125, 106.79604339600007 10.853060722000123, 106.79404449500015 10.853451730000131))",9,70.75333333333333,67.79,53.44,107.78,2.0085145259941997,1,0,0,2,440.597751941684,2328.969013147062,964.1833217599469,267.9314140338181,0.32773839581538783,7
Thành phố Thủ Đức,Quận 9,Hiệp Phú,2.1675915240096124,"POLYGON ((106.77124023400006 10.83857345600012, 106.77125549200008 10.839404107000178, 106.77072143500004 10.838915824000026, 106.77072143500004 10.83997249600003, 106.76906585699999 10.841035843000043, 106.7740020760001 10.84918022200003, 106.78652954000017 10.857228280000129, 106.78787231500013 10.854911804000153, 106.79199981700003 10.853876115000162, 106.79271698000014 10.854228974000137, 106.79404449500015 10.853451730000131, 106.7938003540001 10.852621079000073, 106.78952026300004 10.853443145000028, 106.78833007700018 10.852857589999985, 106.78629302900003 10.844996452000089, 106.78279876800019 10.843973161000065, 106.7808761600001 10.844704628000102, 106.77664184700012 10.839493751000134, 106.77124023400006 10.83857345600012))",4,50.442499999999995,51.31,35.32,63.83,1.8453661382661235,1,0,0,3,665.3518638139541,1259.6707196193342,1286.0125345059244,80.24278728408318,0.3145543385891856,8
Thành phố Thủ Đức,Quận 9,Tăng Nhơn Phú A,4.139269561028143,"POLYGON ((106.78629302900003 10.844996452000089, 106.78833007700018 10.852857589999985, 106.78952026300004 10.853443145000028, 106.7938003540001 10.852621079000073, 106.79404449500015 10.853451730000131, 106.79604339600007 10.853060722000123, 106.79811859100005 10.851476670000125, 106.80175018300014 10.85208416100005, 106.80120849600019 10.8510637280001, 106.80399322600005 10.850487709000106, 106.80534362700013 10.848167420000095, 106.80607604900013 10.845720291000191, 106.80498504700012 10.842172622000021, 106.80577850400016 10.84080696000018, 106.80509185800014 10.839776039000071, 106.805252075 10.838164329000108, 106.80093383800005 10.834647179000058, 106.80634307900004 10.827134132000083, 106.804328919 10.825520516000154, 106.80169677800012 10.832436563000101, 106.79990386900016 10.832100867000065, 106.79749298100018 10.833115577000171, 106.79582977300004 10.832964898000057, 106.79570770300006 10.834458350000148, 106.79327392600004 10.832986830999971, 106.7930908200002 10.834509850000131, 106.7920913710002 10.835356712000078, 106.79158020000006 10.834920884000041, 106.79195404000006 10.833560943000066, 106.79100799500009 10.833148004000122, 106.78852844200014 10.83540630400006, 106.78602600100015 10.836199761999978, 106.78609466500012 10.839925766000079, 106.78746032600009 10.841899872, 106.78629302900003 10.844996452000089))",1,51.15,51.15,51.15,51.15,0.24158851827751285,1,1,0,5,1634.337102685563,2583.237285755889,3808.0901679506064,1240.3340831283363,0.2997319657583777,9
Thành phố Thủ Đức,Quận 2,Bình Trưng Tây,2.0718534035275633,"POLYGON ((106.74778747500017 10.780885696999974, 106.74973297100018 10.782925606000106, 106.75457000800009 10.78529357900004, 106.75434112500005 10.788330079000104, 106.75711059600013 10.79209518500005, 106.7587585440001 10.792421341000022, 106.75892639200009 10.791096688000096, 106.75978088400012 10.790427209000029, 106.76329040600007 10.789751053000032, 106.76409149099999 10.78892517100013, 106.76777648900008 10.79023647300005, 106.76858520400009 10.78838539100002, 106.76911163400013 10.788488389, 106.76945495500001 10.78188800900017, 106.76537322899998 10.781482698000104, 106.76205444300001 10.782455444000107, 106.76065826500013 10.782127381000066, 106.75791931200013 10.78340625800007, 106.75505828800016 10.782747269000026, 106.74765014600007 10.773661614000105, 106.74322509800004 10.776811599000041, 106.7454071050002 10.779411316000107, 106.74778747500017 10.780885696999974))",3,86.02999999999999,93.57,63.69,100.83,1.447978894111023,1,1,0,0,1560.397408818382,1611.6564211185878,2616.7955260062618,3627.664381894662,0.22904540014249866,10
